step,epoch,loss_qfl,loss_bbox,loss_dfl
27801,40,0.3775,0.3406,0.1812
27851,40,0.377,0.3277,0.1903
27901,40,0.3726,0.3168,0.1861
27951,40,0.3465,0.3159,0.181
28001,40,0.3749,0.3338,0.2031
28051,40,0.3499,0.3394,0.1922
28101,40,0.4277,0.2917,0.1879
28151,40,0.3702,0.315,0.1928
28201,40,0.4,0.4116,0.2126
28251,40,0.3644,0.3219,0.195
28301,40,0.3554,0.3497,0.2007
28351,40,0.363,0.3228,0.1874
28401,40,0.3986,0.3456,0.1996
2731,40,0.4045,0.3458,0.2161
2781,40,0.3213,0.2877,0.2027
28451,41,0.3388,0.297,0.184
28501,41,0.3783,0.4544,0.2226
28551,41,0.3937,0.3962,0.2163
28601,41,0.375,0.307,0.1841
28651,41,0.36,0.343,0.1994
28701,41,0.3683,0.4299,0.2253
28751,41,0.4168,0.3654,0.2001
28801,41,0.3225,0.3339,0.2075
28851,41,0.3752,0.4001,0.2177
28901,41,0.3942,0.2889,0.1826
28951,41,0.4041,0.3324,0.2043
29001,41,0.357,0.3045,0.1884
29051,41,0.3693,0.4836,0.2182
29101,41,0.3495,0.3872,0.2119
29151,41,0.4031,0.3354,0.1981
29201,42,0.3981,0.3281,0.1938
29251,42,0.3868,0.312,0.191
29301,42,0.3639,0.3412,0.2067
29351,42,0.3902,0.2838,0.182
29401,42,0.3948,0.3521,0.2061
29451,42,0.3579,0.376,0.2035
29501,42,0.3777,0.3188,0.1966
29551,42,0.3623,0.3419,0.2006
29601,42,0.3916,0.3509,0.2063
29651,42,0.3679,0.3004,0.1787
29701,42,0.344,0.383,0.2068
29751,42,0.3489,0.3536,0.2002
29801,42,0.3686,0.3498,0.1942
29851,42,0.3078,0.3388,0.2023
29901,43,0.3551,0.3675,0.2031
29951,43,0.3232,0.3748,0.2096
30001,43,0.3696,0.3386,0.1961
30051,43,0.3677,0.372,0.2076
30101,43,0.383,0.3188,0.1943
30151,43,0.3671,0.3349,0.1967
30201,43,0.2958,0.2881,0.177
30251,43,0.3944,0.374,0.1962
30301,43,0.4649,0.3569,0.1948
30351,43,0.4058,0.3708,0.199
30401,43,0.3459,0.3023,0.1941
30451,43,0.3393,0.3213,0.2002
30501,43,0.3823,0.3093,0.1918
30551,43,0.3938,0.3561,0.1902
30601,44,0.3455,0.3225,0.187
30651,44,0.3483,0.3258,0.1836
30701,44,0.4633,0.3434,0.2056
30751,44,0.3275,0.344,0.2046
30801,44,0.393,0.3313,0.2022
30851,44,0.268,0.3035,0.1729
30901,44,0.355,0.3648,0.1969
30951,44,0.3212,0.3854,0.2133
31001,44,0.3508,0.313,0.1836
31051,44,0.3642,0.3365,0.1912
31101,44,0.3865,0.3263,0.1946
31151,44,0.3801,0.3277,0.1872
31201,44,0.3459,0.3295,0.1918
31251,44,0.3219,0.3687,0.2049
31301,45,0.3534,0.3417,0.2011
31351,45,0.3903,0.3373,0.1993
31401,45,0.3821,0.3906,0.2135
31451,45,0.3966,0.3586,0.1934
31501,45,0.3769,0.3525,0.2152
31551,45,0.3089,0.3809,0.2069
31601,45,0.3946,0.3809,0.2081
31651,45,0.346,0.341,0.1907
31701,45,0.3596,0.3218,0.1866
31751,45,0.3773,0.3394,0.1964
31801,45,0.367,0.3268,0.1807
31851,45,0.3652,0.3896,0.2022
31901,45,0.4057,0.4105,0.2167
31951,45,0.32,0.367,0.2044
32001,46,0.3875,0.3305,0.1985
32051,46,0.3915,0.3533,0.1912
32101,46,0.3114,0.3528,0.2127
32151,46,0.3321,0.3529,0.1935
32201,46,0.3268,0.3749,0.2126
32251,46,0.361,0.3678,0.1957
32301,46,0.4004,0.2985,0.1798
32351,46,0.3477,0.2836,0.1927
32401,46,0.3705,0.3606,0.1962
32451,46,0.3353,0.4093,0.2044
32501,46,0.2936,0.3955,0.2161
32551,46,0.3318,0.3819,0.205
32601,46,0.3244,0.3568,0.1975
32651,46,0.2899,0.2635,0.1779
32701,46,0.2971,0.3371,0.1902
32751,47,0.376,0.3045,0.1849
32801,47,0.3667,0.3412,0.1938
32851,47,0.3642,0.418,0.2199
32901,47,0.3229,0.3333,0.193
32951,47,0.3513,0.3096,0.193
33001,47,0.3484,0.3288,0.2053
33051,47,0.354,0.3702,0.1972
33101,47,0.3149,0.3015,0.1861
33151,47,0.2512,0.2833,0.1843
33201,47,0.3015,0.399,0.2101
33251,47,0.4394,0.3422,0.2118
33301,47,0.3604,0.3301,0.1859
33351,47,0.3875,0.2831,0.1751
33401,47,0.3688,0.3653,0.2112
33451,48,0.398,0.3229,0.1921
33501,48,0.3265,0.3298,0.1987
33551,48,0.3939,0.3254,0.1986
33601,48,0.374,0.3442,0.1943
33651,48,0.3452,0.3429,0.2017
33701,48,0.3212,0.3006,0.1934
33751,48,0.3769,0.3531,0.1985
33801,48,0.3171,0.3314,0.2101
33851,48,0.3238,0.3287,0.1916
33901,48,0.3425,0.3202,0.18
33951,48,0.3828,0.3523,0.1972
34001,48,0.3658,0.3536,0.1971
34051,48,0.3482,0.3044,0.1887
34101,48,0.3008,0.2969,0.1916
34151,49,0.3813,0.381,0.2056
34201,49,0.3699,0.3249,0.1919
34251,49,0.3363,0.3865,0.1997
34301,49,0.3379,0.2636,0.1777
34351,49,0.3113,0.3587,0.1921
34401,49,0.3308,0.3425,0.191
34451,49,0.3576,0.4495,0.2179
34501,49,0.3543,0.3026,0.1889
34551,49,0.3173,0.3288,0.1962
34601,49,0.3491,0.4108,0.2067
34651,49,0.4265,0.3753,0.2004
34701,49,0.3441,0.3587,0.2181
34751,49,0.4117,0.3711,0.2119
